## RECSRecommendations Upload File ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.ib-display,entity.ib-pill,entity.ib-info-url,entity.ib-info-url-inelig,entity.ib-info-name,entity.ib-apply-url,entity.ib-apply-url-inelig,entity.ib-apply-name,entity.ib-message,entity.ib-img-url,entity.ib-eligibleclasslist,entity.basite-message,entity.basite-pageUrl,entity.basite-imgUrl,entity.basite-imgPath,entity.ccsite-message,entity.ccsite-cta,entity.ccsite-pageUrl,entity.ccsite-imgUrl,entity.ccsite-imgPath,entity.sitearea-display
test-1,ANZ Platinum credit card,,,,,https://www.anz.com.au/personal/credit-cards/low-annual-fee/platinum/,,,y,NEW CREDIT CARD OFFER,https://www.anz.com.au/personal/credit-cards/low-annual-fee/platinum/?pid=crc-ibrec-t-ibpao-12-24-acq-lfplatoffer,,See ANZ Platinum,&,,&,"Enjoy $100 back to your new ANZ Platinum card when you spend $2,000 on eligible purchases in the first 3 months from approval. T&Cs, eligibility criteria, fees and charges apply (including an annual fee, $0 for the first year, currently $87 thereafter).",https://anz.com.au/content/dam/anzcomau/images/credit-cards/ib-promo-tiles/po-lower/anz-platinum-white-bgd-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
test-2,ANZ Low Rate credit card,,,,,https://www.anz.com.au/personal/credit-cards/low-interest-rate/low-rate-card/,,,y,NEW CREDIT CARD OFFER,https://www.anz.com.au/personal/credit-cards/low-interest-rate/low-rate-card/?pid=crc-ibrec-t-ibpao-12-24-acq-lowrateoffer,,See ANZ Low Rate,&,,&,"3% balance transfer fee + $0 annual fee in the first year. 30-month promotional period starts when we issue a Letter of Offer, not when the Balance Transfer is processed (usually 3-15 business days after card activation). Rate reverts to standard BT rate at the end of the promotional period, currently 21.99% p.a. T&Cs, eligibility criteria, fees and charges apply (including an annual fee, $0 for the first year, currently $58 thereafter).",https://anz.com.au/content/dam/anzcomau/images/credit-cards/ib-promo-tiles/po-lower/anz-low-rate-white-bgd-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""r1cne"",""r1sbe""]",,,,,,,,,,
test-3,ANZ Rewards Platinum credit card,,,,,https://www.anz.com.au/personal/credit-cards/rewards-platinum/,,,y,NEW CREDIT CARD OFFER,https://www.anz.com.au/personal/credit-cards/rewards-platinum/?pid=crc-ibrec-t-ibpao-11-24-acq-rwplatlearnmore,,Learn more,&,,&,"Earn 100,000 extra ANZ Rewards Points and $50 back to your new card when you spend $2,000 on eligible purchases in the first 3 months from approval. New Rewards card. T&Cs, eligibility criteria, fees & charges apply (including annual fee, currently $149).",https://anz.com.au/content/dam/anzcomau/images/credit-cards/ib-promo-tiles/po-lower/anz-rewards-platinum-white-bgd-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
cc-ff-blk,ANZ Frequent Flyer Black credit card,,,,,https://www.anz.com.au/personal/credit-cards/frequent-flyer/black/,,,y,NEW CREDIT CARD OFFER,https://www.anz.com.au/personal/credit-cards/frequent-flyer/black/?pid=crc-ibrec-t-ibpao-03-24-acq-anzffblacklearnmore,,Learn more,&,,&,"Earn up to 130,000 bonus Qantas Points. Get 90,000 bonus Qantas Points + $200 back to your new ANZ Frequent Flyer Black credit card when you spend $5,000 on eligible purchases in the first 3 months from approval. Plus, earn an additional 40,000 bonus Qantas Points when you keep your card for over 12 months. T&Cs, eligibility criteria, fees and charges apply (including an annual fee, currently $425).",https://anz.com.au/content/dam/anzcomau/images/credit-cards/ib-promo-tiles/po-lower/anz-frequent-flyer-black-white-bgd-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,"Our most rewarding Qantas experience with uncapped Qantas Points earning, Qantas Club privileges, access to exclusive events and travel benefits. Credit criteria and T&Cs apply.","Discover the ANZ Frequent Flyer Black card<span style=""white-space: nowrap;"">",https://www.anz.com.au/personal/credit-cards/frequent-flyer/black/?pid=crc-prodrec-t-percc-05-21-acq-anzffb,https://www.anz.com.au/content/anzcomau/en/target/recommendations/cc-card-images/frequent-flyer-black/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/image.img.full.high.jpg/1620968903260.jpg,https://www.anz.com.au/content/anzcomau/en/target/recommendations/cc-card-images/frequent-flyer-black/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/,y
cc-lir-lr,ANZ Low Rate credit card,,,,,https://www.anz.com.au/personal/credit-cards/low-interest-rate/low-rate-card/,,,y,NEW CREDIT CARD OFFER,https://www.anz.com.au/personal/credit-cards/low-interest-rate/low-rate-card/?pid=crc-ibrec-t-ibpao-12-24-acq-lowrateoffer,,See ANZ Low Rate,&,,&,"3% balance transfer fee + $0 annual fee in the first year. 30-month promotional period starts when we issue a Letter of Offer, not when the Balance Transfer is processed (usually 3-15 business days after card activation). Rate reverts to standard BT rate at the end of the promotional period, currently 21.99% p.a. T&Cs, eligibility criteria, fees and charges apply (including an annual fee, $0 for the first year, currently $58 thereafter).",https://anz.com.au/content/dam/anzcomau/images/credit-cards/ib-promo-tiles/po-lower/anz-low-rate-white-bgd-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""r1cne"",""r1sbe""]",,,,,"Our lowest interest rate on purchases, and comes with the same security features and convenience that other ANZ credit cards offer. Credit criteria and T&Cs apply.","Discover the ANZ Low Rate card<span style=""white-space: nowrap;"">",https://www.anz.com.au/personal/credit-cards/low-interest-rate/low-rate-card/?pid=crc-prodrec-t-percc-05-21-acq-anzlowrate,https://www.anz.com.au/content/anzcomau/en/target/recommendations/cc-card-images/low-rate/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/image.img.full.high.jpg/1620969250387.jpg,https://www.anz.com.au/content/anzcomau/en/target/recommendations/cc-card-images/low-rate/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/,y
dda-ed,ANZ Online Saver,,,,,https://www.anz.com.au/personal/bank-accounts/savings-accounts/online-saver/,,,y,FEATURED PRODUCT,#/generic-offers?name=ANZOnlineSaverLanding&pid=sav-ibrec-t-ibpao-03-21-acq-onlinesaverlearnmore&sid=po,https://www.anz.com.au/personal/bank-accounts/savings-accounts/online-saver/?pid=sav-ibrec-t-ibpao-03-21-acq-onlinesaverlearnmore,Learn more,#/online-saver?pid=sav-ibrec-t-ibpao-03-21-acq-onlinesaverapply&sid=po,https://applyonline.anz.com/dsr-dep/deposits/apply?pid=sav-ibrec-t-ibpao-03-21-acq-onlinesaverapply&apptype=OS&sourcecode_1=QKB,Apply now,Enjoy the flexibility to access your savings anytime online via your linked account while still being rewarded with interest.,https://www.anz.com.au/content/dam/anzcomau/images/bank-accounts/ib-products-offers/ib-bottom-couple-calculating-kitchen-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""r1cne"",""r1sbe""]",Enjoy the flexibility to access your savings anytime online via your linked account while still being rewarded with interest.,https://www.anz.com.au/personal/bank-accounts/savings-accounts/online-saver/?pid=sav-prodrec-t-perba-06-21-acq-ols,https://www.anz.com.au/content/anzcomau/en/target/recommendations/ba-product-images/ols/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/image.img.320.medium.jpg/1617833783088.jpg,https://www.anz.com.au/content/anzcomau/en/target/recommendations/ba-product-images/ols/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/,,,,,,y
dda-pt,ANZ Access Advantage,,,,,https://www.anz.com.au/personal/bank-accounts/everyday-accounts/access-advantage/,,,y,FEATURED PRODUCT,#/generic-offers?name=ANZAccessAdvantageLanding&pid=tra-ibrec-t-ibpao-08-21-acq-accessadvantagelearnmore&sid=po,https://www.anz.com.au/personal/bank-accounts/everyday-accounts/access-advantage/?pid=tra-ibrec-t-ibpao-08-21-acq-accessadvantagelearnmore,Learn more,#/access-advantage?pid=tra-ibrec-t-ibpao-03-21-acq-accessadvantageapply&sid=po,https://applyonline.anz.com/dsr-dep/deposits/apply?pid=tra-ibrec-t-ibpao-12-21-acq-aavdsuperchargeapply&apptype=AA&sourcecode_1=QID,Apply now,"Includes unlimited ANZ Transactions, an ANZ Visa Debit card and access to ANZ App features. T&Cs apply.",https://www.anz.com.au/content/dam/anzcomau/images/bank-accounts/woman-opening-package-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""r1cne"",""r1sbe""]","Everything you need from an everyday transaction account to use, move and manage your money easily.",https://www.anz.com.au/personal/bank-accounts/everyday-accounts/access-advantage/?pid=tra-prodrec-t-perba-06-21-acq-aavd,https://www.anz.com.au/content/anzcomau/en/target/recommendations/ba-product-images/access-advantage/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/image.img.320.medium.jpg/1617833488317.jpg,https://www.anz.com.au/content/anzcomau/en/target/recommendations/ba-product-images/access-advantage/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/,,,,,,y
dda-sa,ANZ Progress Saver,,,,,https://www.anz.com.au/personal/bank-accounts/savings-accounts/progress-saver/,,,y,FEATURED PRODUCT,#/generic-offers?name=ANZProgressSaverLanding&pid=sav-ibrec-t-ibpao-03-21-acq-progsaverlearnmore&sid=po,https://www.anz.com.au/personal/bank-accounts/savings-accounts/progress-saver/?pid=sav-ibrec-t-ibpao-03-21-acq-progsaverlearnmore,Learn more,#/progress-saver?pid=sav-ibrec-t-ibpao-03-21-acq-progsaverapply&sid=po,https://applyonline.anz.com/dsr-dep/deposits/apply?pid=sav-ibrec-t-ibpao-03-21-acq-progsaverapply&apptype=PS&sourcecode_1=PI03,Apply now,You could be rewarded with bonus interest for regular savings of $10 or more and no withdrawals in a month.,https://www.anz.com.au/content/dam/anzcomau/images/bank-accounts/couple-with-dog-pgs-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""r1cne"",""r1sbe""]",You could be rewarded with bonus interest for regular savings of $10 or more and no withdrawals in a month.,https://www.anz.com.au/personal/bank-accounts/savings-accounts/progress-saver/?pid=sav-prodrec-t-perba-06-21-acq-pgs,https://www.anz.com.au/content/anzcomau/en/target/recommendations/ba-product-images/pgs/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/image.img.320.medium.jpg/1617833982739.jpg,https://www.anz.com.au/content/anzcomau/en/target/recommendations/ba-product-images/pgs/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/,,,,,,y
dda-sa-kids,ANZ Progress Saver for Kids,,,,,https://www.anz.com.au/personal/bank-accounts/savings-accounts/kids-banking/,,,n,FEATURED PRODUCT,https://www.anz.com.au/personal/bank-accounts/savings-accounts/kids-banking/?pid=sav-ibrec-t-ibpao-03-21-acq-kidsbankinglearnmore,,Learn more,https://www.anz.com.au/personal/bank-accounts/savings-accounts/kids-banking/?pid=sav-ibrec-t-ibpao-03-21-acq-kidsbankingapply#howtoapply,,Apply now,"With an ANZ Progress Saver account, help your kids get started and learn good saving habits today.",https://www.anz.com.au/content/dam/anzcomau/images/bank-accounts/father-daughter-at-play-ib-promo-tile.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]","With an ANZ Progress Saver account, help your kids get started and learn good saving habits today.",https://www.anz.com.au/personal/bank-accounts/savings-accounts/kids-banking/?pid=sav-prodrec-t-perba-06-21-acq-kidssaving,https://www.anz.com.au/content/anzcomau/en/target/recommendations/ba-product-images/pgs-kids/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/image.img.320.medium.jpg/1617834068146.jpg,https://www.anz.com.au/content/anzcomau/en/target/recommendations/ba-product-images/pgs-kids/_jcr_content/anz_default_par/columns/anz_default_par1/textimage/,,,,,,y
ils-pl-fix,ANZ Fixed Rate Personal Loan,,,,,https://www.anz.com.au/personal/personal-loans/fixed-rate/,,,y,PERSONAL LOANS,https://www.anz.com.au/personal/personal-loans/fixed-rate/?pid=pel-ibrec-t-ibpao-10-24-acq-lafcashbackfix,,Learn more,&,,&,"Get $250 cashback + $150 Loan Approval Fee Waiver with an ANZ Personal Loan. T&Cs, eligibility, assessment criteria apply.",https://www.anz.com.au/content/dam/anzcomau/images/personal-loans/pl-smiling-girl-getting-car-key-inpage-banner.jpg,"[""R1CNE"",""R1SBE"",""RAGE"",""BASE"",""B2SIGN"",""B2SUSI"",""B2OPER"",""CSO"",""r1cne"",""r1sbe"",""rage"",""base"",""b2sign"",""b2susi"",""b2oper"",""cso""]",,,,,,,,,,
